⁊	⁊	⁊c,⁊c,⁊c,⁊c,⁊c,⁊cKewethkezyk,⁊c,⁊ctWala,⁊ctMykoron,⁊cMyker,⁊c
w̗	ü	zÿleietkeeryw̗k,kego̗tlenw̗l,tw̗zewel,mesto̗rw̗l,felÿw̗l,genÿe-rw̗,kego̗tle-nw̗l,merw̗ltetky,vero̗sw̗ltnek,nekw̗l,remenlÿw̗k
w̄	ün	minekw̄k,mondanw̄k,keelmínekew̄k,felÿw̄kistentwl,)lw̄k,mynekw̄k,meennyw̄k,erettew̄kpeldaat,wrw̄kIesusth,lakoznw̄kAzt,tw̄ÿasagbol
ẃ	ü	hẃ
w̋̄	ün	ÿdó̗keterthetw̋̄k
x̄	x	x̄p̄tus,x̄p̄tus,Iesusx̄p̄tus,x̄p̄us,x̄p̄us,x̄p̄us,x̄p̄sIrgalmaz,x̄p̄us,x̄p̄us,x̄p̄us,x̄p̄us
ẏ̄	i	bẏ̄hedni
ÿ	i	dorotÿa,Appalÿn,Matÿas,Gÿmo̗lch,leanÿad,vÿdf{10}{5v}g(a)b,vÿteezfg,kÿrald,Marghÿthfg,elÿees,zakadatÿad
ý	i	dýčo̗sege,Haýč,hýtmeg,raýta,ýmad--sagot,raýta,Kezdehaýat,Am<íý>el,kýwanſagal,kenweýben,beſtýeken
ÿ̄	i	eesmÿ̄den,mÿ̄dehatho,ÿ̄doitǎd,ÿ̄mar,banchatokhCÿ̄talan,menÿ̄wk,bÿ̄tesed,mÿ̄den,64vbaratÿ̄nak,mÿ̄dev́rev́ke,mÿ̄denkoron
ȳ	i	erdemȳnekteteliert,byneȳnek,lathatatlāellensegȳnek,chalardsagȳnacellene,ÿn-dulasȳnak,mȳd,belso̗ȳmel,mȳdenkoron,nȳomat,gondolatȳnak,bȳtẃl
Ÿ	I	eztendo̗be{271}{136r}Ÿth,Amen{359}{180r}(M)Ÿ,Ÿme,KŸ,zoo{62b}Ÿmaran,egÿ{86a}Ÿwtot,Ÿmaran,hÿttel{122a}Ÿmadaak,mondaewnekÿk{134b}Ÿme,:Ÿmaran,/Ÿaÿ
y̋	i	ky̋nec,Aty̋am,maǵarazy̋a,v́ray̋toc,ray̋tocal,akary̋a,by̋-neíert,istēnecfiay̋nac,fay̋dalmaertMind,ízy̋a,hy̋wseggel
y̋̄	i	my̋̄daz,my̋̄dezeketh,my̋̄d,my̋̄delthere,my̋̄dAkory̋g
ẏ	i	mẏhalc,ẏwan(a)b,har-mẏczeggh,Napẏae,kẏemlekozÿk,zẏveketh,Mẏnden,meghzẏwkseghÿnkbe,annẏaw<r>,expirauithelẏ,illet-neẏe
Y̋	I	Y̋euendo̗,Y̋saí--as
ź	z	hoźa,mihoźanc,hoźanc,źivek,emlekeźel,reźegsegben,źeǵelletekben,źem-eremsegben,vonźa,vźuen,vźo̗get
z̄	z	keūāz̄
ᶻ	z	magaztacᶻ,orcᶻaiarul,orcᶻaiat,ercᶻ,felecᶻ,ragacᶻ,magaztacᶻ,veccᶻ,kemencᶻe,orcᶻadnak,orcᶻaiokot
ʒ	z	nyolcʒ,keʒ-detijk.Elſew,nēʒetſegerewl,nemʒe,nemʒe,nemʒe,aʒ,nemʒe,ʒaramot,nemʒe,nemʒe
Ʒ	z	Ʒakarias,raijta.Ʒokas,Ʒent,lewnAuianus.{68r}Ʒent,nekijk.Ʒanomeʒ,Ʒebedeuſnak,nekijk.Ʒomorw,Ʒakarijas,Ʒakarijas,Ʒakarijaſt,ees,Ʒakarijaſnak
ꝯ	Pro	ꝯfeſſorra,Maſodzerꝯfirmallak,ꝯfesorodnak,ꝯfessorok,ꝯfessorokhEZekhez,mÿndꝯffesoroknak,ꝯfesoroknak,ꝯscienciam,ꝯpletaÿat,ꝯscienciaÿok,azꝯpletara
α	a	αmen,αmen,αmenkezdetik,αmen,αmen,αmen,αmen{118}{59v}Vrnak,αmenHarmad,αmenKezdetik,αmen{228}{114v}ez,αmen
